pipeline_id,pipeline_name,segment_id,reading_timestamp,inlet_pressure_psi,outlet_pressure_psi,flow_rate_bpd,temperature_f,status,_loaded_at
P001,North Trunk Line,SEG-001,2024-01-01 06:00:00,850,820,5200,140,OPERATIONAL,2024-01-01 08:00:00
P001,North Trunk Line,SEG-002,2024-01-01 06:00:00,820,780,5200,138,OPERATIONAL,2024-01-01 08:00:00
P001,North Trunk Line,SEG-003,2024-01-01 06:00:00,780,710,5150,135,OPERATIONAL,2024-01-01 08:00:00
P001,North Trunk Line,SEG-001,2024-01-02 06:00:00,855,825,5250,141,OPERATIONAL,2024-01-02 08:00:00
P001,North Trunk Line,SEG-002,2024-01-02 06:00:00,825,785,5250,139,OPERATIONAL,2024-01-02 08:00:00
P001,North Trunk Line,SEG-003,2024-01-02 06:00:00,785,715,5200,136,OPERATIONAL,2024-01-02 08:00:00
P002,South Feeder,SEG-001,2024-01-01 06:00:00,920,850,3800,145,OPERATIONAL,2024-01-01 08:00:00
P002,South Feeder,SEG-002,2024-01-01 06:00:00,850,840,3800,143,OPERATIONAL,2024-01-01 08:00:00
P002,South Feeder,SEG-001,2024-01-02 06:00:00,925,855,3850,146,OPERATIONAL,2024-01-02 08:00:00
P002,South Feeder,SEG-002,2024-01-02 06:00:00,855,845,3850,144,OPERATIONAL,2024-01-02 08:00:00
P003,East Connector,SEG-001,2024-01-01 06:00:00,800,740,2900,132,OPERATIONAL,2024-01-01 08:00:00
P003,East Connector,SEG-001,2024-01-02 06:00:00,810,745,2950,133,OPERATIONAL,2024-01-02 08:00:00
