well_id,well_name,production_date,oil_volume_bbl,gas_volume_mcf,water_volume_bbl,wellhead_pressure_psi,wellhead_temperature_f,choke_size,status,_loaded_at
W001,Alpha Well,2024-01-01,150.5,320.0,45.2,2800,185,32,ACTIVE,2024-01-02 08:00:00
W001,Alpha Well,2024-01-02,148.3,315.5,46.8,2785,183,32,ACTIVE,2024-01-03 08:00:00
W001,Alpha Well,2024-01-03,152.1,325.0,44.5,2810,186,32,ACTIVE,2024-01-04 08:00:00
W002,Beta Well,2024-01-01,210.0,450.2,78.3,3100,192,48,ACTIVE,2024-01-02 08:00:00
W002,Beta Well,2024-01-02,205.8,442.0,80.1,3085,190,48,ACTIVE,2024-01-03 08:00:00
W002,Beta Well,2024-01-03,208.5,448.5,79.0,3095,191,48,ACTIVE,2024-01-04 08:00:00
W003,Gamma Well,2024-01-01,95.2,180.0,120.5,2200,175,24,ACTIVE,2024-01-02 08:00:00
W003,Gamma Well,2024-01-02,92.0,175.5,125.0,2180,174,24,ACTIVE,2024-01-03 08:00:00
W003,Gamma Well,2024-01-03,0.0,0.0,0.0,0,0,0,SHUT_IN,2024-01-04 08:00:00
W004,Delta Well,2024-01-01,180.0,390.0,55.0,2950,188,40,ACTIVE,2024-01-02 08:00:00
W004,Delta Well,2024-01-02,175.5,385.0,58.2,2930,187,40,ACTIVE,2024-01-03 08:00:00
W004,Delta Well,2024-01-03,178.0,388.0,56.5,2940,188,40,ACTIVE,2024-01-04 08:00:00
